job_id,submit_time,real_iteration,model_name,ddl,batch_size,num_gpu,real_duration,duration,iteration
160,2017175,161904,resnet50,2046271,64,1,23660,23660,161904
161,2036839,2119418,gpt2,2139380,256,4,185256,185256,2119418
162,2059484,223442,bert,2109551,64,1,37051,37051,223442
163,2063814,1001834,resnet50,2215338,256,4,161826,161826,1001834
164,2097269,825941,vgg16,2204678,256,4,177933,177933,825941
165,2129795,3385,vgg16,2130474,64,1,670,670,3385
166,2161106,22236,bert,2164693,128,1,6220,6220,22236
167,2161107,8484,vgg16,2164701,256,1,6459,6459,8484
168,2161132,170082,resnet50,2177715,64,1,24855,24855,170082
169,2161132,124764,vgg16,2196074,64,1,24691,24691,124764
170,2161425,69579,resnet50,2175605,64,1,10168,10168,69579
171,2161425,73490,gpt2,2172908,128,1,10055,10055,73490
172,2161666,32009,inception3,2166606,64,1,6640,6640,32009
173,2161666,12227,resnet50,2166405,256,1,6633,6633,12227
174,2247257,39885,vgg16,2272810,256,1,30362,30362,39885
175,2247257,61136,vgg16,2262280,128,1,23292,23292,61136
176,2247322,82759,bert,2275619,128,1,23150,23150,82759
177,2247429,126677,bert,2298385,128,1,35435,35435,126677
178,2248491,114148,inception3,2267201,64,1,23679,23679,114148
179,2257491,3163,vgg16,2258052,64,1,626,626,3163
180,2302903,2466,bert,2303831,128,1,690,690,2466
181,2352993,1896592,resnet50,2463078,64,4,103645,103645,1896592
182,2359902,989421,vgg16,2483282,128,4,113456,113456,989421
183,2360615,64600,inception3,2389827,128,1,25212,25212,64600
184,2360616,1360272,resnet50,2443894,128,4,121191,121191,1360272
185,2360616,1346928,inception3,2525969,64,4,115189,115189,1346928
186,2360616,514846,resnet50,2423408,256,4,83163,83163,514846
187,2360617,1838121,vgg16,2537255,64,4,124576,124576,1838121
188,2360617,679074,deepspeech2,2470792,32,4,90016,90016,679074
189,2360619,698030,bert,2446374,128,4,82598,82598,698030
190,2360619,683804,bert,2446352,64,4,66028,66028,683804
191,2360620,967593,resnet50,2426322,128,4,86206,86206,967593
192,2360620,721532,bert,2444405,128,4,85379,85379,721532
193,2360624,1233509,inception3,2478755,128,4,158069,158069,1233509
194,2360625,1003915,vgg16,2419969,128,4,115118,115118,1003915
195,2360646,815185,bert,2418062,128,4,96461,96461,815185
196,2360646,1038710,resnet50,2438968,128,4,92542,92542,1038710
197,2361910,3138531,resnet50,2732705,64,2,265113,265113,3138531
198,2386703,2238945,inception3,2604507,64,4,191474,191474,2238945
199,2388654,1251,resnet50,2389123,256,1,679,679,1251
200,2391840,113367,gpt2,2406584,128,1,15511,15511,113367
201,2478146,2094,vgg16,2478713,128,1,798,798,2094
202,2495057,35404,deepspeech2,2527488,64,1,22129,22129,35404
203,2505721,133597,bert,2525537,64,1,22153,22153,133597
204,2545486,85984,deepspeech2,2575882,32,1,28442,28442,85984
205,2545511,73466,inception3,2561528,128,1,28672,28672,73466
206,2546184,115635,gpt2,2568676,256,1,28222,28222,115635
207,2548010,173785,bert,2573894,64,1,28817,28817,173785
208,2551437,70647,inception3,2591969,128,1,27572,27572,70647
209,2551448,84433,deepspeech2,2567850,32,1,27929,27929,84433
210,2561761,167809,bert,2592646,64,1,27826,27826,167809
211,2561775,101413,bert,2584350,128,1,28368,28368,101413
212,2574992,2094110,resnet50,2757049,128,4,186571,186571,2094110
213,2579225,3812306,resnet50,2761529,64,4,208335,208335,3812306
214,2584996,3195598,vgg16,2724139,64,4,216577,216577,3195598
215,2591838,2481978,gpt2,2859896,256,4,216947,216947,2481978
216,2636760,1818724,resnet50,2823906,128,4,162036,162036,1818724
217,2644740,1043,deepspeech2,2645432,64,1,652,652,1043
218,2711038,112980,vgg16,2749692,128,1,43044,43044,112980
219,2724456,2833628,vgg16,2833582,64,4,192045,192045,2833628
220,2728286,1399337,vgg16,3062230,128,2,287125,287125,1399337
221,2731218,3026,resnet50,2731994,128,1,828,828,3026
222,2731220,5665,resnet50,2731895,64,1,828,828,5665
223,2737914,123450,vgg16,2771178,64,1,24431,24431,123450
224,2737938,100179,gpt2,2771276,256,1,24450,24450,100179
225,2738675,99983,gpt2,2756131,256,1,24402,24402,99983
226,2738683,123076,vgg16,2767153,64,1,24357,24357,123076
227,2738836,87153,bert,2772980,128,1,24379,24379,87153
228,2738836,168569,resnet50,2762745,64,1,24634,24634,168569
229,2758116,41268,inception3,2775783,128,1,16106,16106,41268
230,2763018,1576248,resnet50,2912466,256,4,254611,254611,1576248
231,2765561,1898312,resnet50,2859970,64,4,103739,103739,1898312
232,2777686,24836,inception3,2778798,64,4,2124,2124,24836
233,2778950,19490,vgg16,2782272,128,4,2235,2235,19490
234,2779788,813590,deepspeech2,2888453,32,4,107847,107847,813590
235,2810910,1850,resnet50,2811598,256,1,1004,1004,1850
236,2820995,1011545,deepspeech2,3096887,64,4,192574,192574,1011545
237,2821065,1538,vgg16,2822762,256,1,1171,1171,1538
238,2821066,3673,resnet50,2821952,128,1,1005,1005,3673
239,2821972,82844,vgg16,2845890,64,1,16395,16395,82844
240,2821972,26153,deepspeech2,2837251,64,1,16347,16347,26153
241,2824613,73368,bert,2835966,128,1,20523,20523,73368
242,2824613,54737,deepspeech2,2844103,32,1,18106,18106,54737
243,2827652,515175,deepspeech2,2898901,64,4,98077,98077,515175
244,2831461,47339,resnet50,2848709,256,1,25681,25681,47339
245,2831484,152310,bert,2859157,64,1,25256,25256,152310
246,2831570,120082,inception3,2860396,64,1,24910,24910,120082
247,2836521,804218,vgg16,2937651,128,4,92219,92219,804218
248,2840204,20930,bert,2842194,64,4,2021,2021,20930
249,2843377,15732,inception3,2845625,128,4,2016,2016,15732
250,2843510,9098,vgg16,2845426,256,4,1960,1960,9098
251,2847602,10509,vgg16,2850145,256,4,2264,2264,10509
252,2851413,2167,inception3,2852067,128,1,846,846,2167
253,2904763,2037,inception3,2905409,128,1,795,795,2037
254,2905860,42327,vgg16,2919957,128,1,16126,16126,42327
255,2905861,41844,inception3,2926867,128,1,16331,16331,41844
256,2922459,10663,deepspeech2,2924367,64,4,2030,2030,10663
257,2926520,37933,resnet50,2928729,64,4,2073,2073,37933
258,2931823,103565,inception3,2966481,128,1,40419,40419,103565
259,2931840,105507,inception3,2955315,128,1,41177,41177,105507
260,2971942,571550,deepspeech2,3103503,64,2,192995,192995,571550
261,2973384,1130671,resnet50,3155395,256,4,182637,182637,1130671
262,2974036,319997,vgg16,3039826,256,2,126848,126848,319997
263,2974311,944262,deepspeech2,3105926,64,4,179765,179765,944262
264,2989074,26496,deepspeech2,3011497,64,1,16561,16561,26496
265,2989075,66860,gpt2,3013373,256,1,16318,16318,66860
266,2991493,1838,deepspeech2,2992343,32,1,608,608,1838
267,2998773,91074,bert,3034214,128,1,25476,25476,91074
268,2998774,33143,vgg16,3025579,256,1,25230,25230,33143
269,3006294,46735,resnet50,3008228,64,4,2554,2554,46735
270,3007080,12238,deepspeech2,3009901,64,4,2330,2330,12238
271,3021108,253240,vgg16,3039105,64,4,17163,17163,253240
272,3025374,703429,resnet50,3062700,64,4,38441,38441,703429
273,3027806,774868,resnet50,3072295,64,4,42345,42345,774868
274,3072212,101743,bert,3088533,64,1,16871,16871,101743
275,3072212,26917,deepspeech2,3090521,64,1,16824,16824,26917
276,3076202,719235,vgg16,3149030,128,4,82474,82474,719235
277,3078614,845051,bert,3174801,128,4,99995,99995,845051
278,3079751,64902,vgg16,3107122,128,1,24727,24727,64902
279,3082227,2260539,resnet50,3201011,64,4,123534,123534,2260539
280,3089337,179472,bert,3120585,128,4,21237,21237,179472
281,3089347,160776,deepspeech2,3109064,32,4,21312,21312,160776
282,3092021,105293,gpt2,3119521,256,1,25698,25698,105293
283,3105066,1912401,bert,3331304,64,4,184661,184661,1912401
284,3107496,56330,bert,3123617,128,1,15757,15757,56330
285,3118878,922526,deepspeech2,3310142,64,4,175627,175627,922526
286,3124356,808224,gpt2,3416472,256,1,197256,197256,808224
287,3127777,2558358,vgg16,3238937,64,4,173389,173389,2558358
288,3127782,2933315,gpt2,3269107,128,4,176003,176003,2933315
289,3164923,963,deepspeech2,3165431,64,1,602,602,963
290,3249391,4365,resnet50,3250347,64,1,638,638,4365
291,3360917,75660,deepspeech2,3394414,32,1,25027,25027,75660
292,3360972,210736,resnet50,3381337,64,1,30796,30796,210736
293,3363744,35855,deepspeech2,3378261,64,1,22411,22411,35855
294,3363770,56424,inception3,3389843,128,1,22021,22021,56424
295,3370867,2560,gpt2,3371564,256,1,625,625,2560
296,3374277,3909,inception3,3374717,64,1,811,811,3909
297,3379909,3075,inception3,3380491,64,1,638,638,3075
298,3386654,171321,gpt2,3394928,256,4,14975,14975,171321
299,3386668,160108,bert,3402065,64,4,15460,15460,160108
300,3388149,1021951,inception3,3453414,64,4,87397,87397,1021951
301,3392448,764023,bert,3503770,128,4,90407,90407,764023
302,3421884,3143,inception3,3422732,64,1,652,652,3143
303,3422723,26846,resnet50,3441784,256,1,14564,14564,26846
304,3427083,152376,bert,3444233,64,1,25267,25267,152376
305,3427084,177714,gpt2,3451286,128,1,24315,24315,177714
306,3427409,34856,resnet50,3443152,256,1,18909,18909,34856
307,3427409,68487,resnet50,3444602,128,1,18736,18736,68487
308,3447594,198410,resnet50,3463136,128,4,17677,17677,198410
309,3447596,109967,resnet50,3459315,256,4,17763,17763,109967
310,3452699,2941465,gpt2,3613450,128,4,176492,176492,2941465
311,3452703,3257849,resnet50,3585489,64,4,178035,178035,3257849
312,3483503,42493,deepspeech2,3515953,64,1,26560,26560,42493
313,3484764,56965,vgg16,3516224,128,1,21703,21703,56965
314,3507025,392650,resnet50,3592460,128,2,59317,59317,392650
315,3507742,139196,gpt2,3526873,128,1,19045,19045,139196
316,3512167,42887,resnet50,3526049,256,1,23266,23266,42887
317,3516797,94955,gpt2,3533814,256,1,23175,23175,94955
318,3516818,117689,vgg16,3535133,64,1,23291,23291,117689
319,3527660,17602,vgg16,3528745,64,4,1193,1193,17602
320,3530044,7454,vgg16,3530946,256,4,1606,1606,7454
321,3531413,78651,bert,3552126,128,1,22001,22001,78651
322,3536814,1941544,bert,3660570,64,4,187475,187475,1941544
323,3544128,2013273,resnet50,3658690,128,4,179369,179369,2013273
324,3546896,86867,bert,3565214,128,1,24299,24299,86867
325,3547060,167516,resnet50,3561684,64,1,24480,24480,167516
326,3550915,147623,vgg16,3583741,64,1,29215,29215,147623
327,3550979,145542,vgg16,3590051,64,1,28803,28803,145542
328,3558450,1326440,deepspeech2,3855280,32,2,247200,247200,1326440
329,3559452,142319,inception3,3578271,64,1,29523,29523,142319
330,3562846,10483,resnet50,3564438,64,1,1532,1532,10483
331,3562905,135334,inception3,3579953,64,1,28074,28074,135334
332,3563086,52291,resnet50,3580455,256,1,28367,28367,52291
333,3568059,68717,resnet50,3573198,64,1,10042,10042,68717
334,3572596,1415362,deepspeech2,3714773,32,4,187616,187616,1415362
335,3582036,1391297,deepspeech2,3824256,32,4,184426,184426,1391297
336,3583142,952656,deepspeech2,3813739,64,4,181363,181363,952656
337,3583917,34304,bert,3593560,128,1,9596,9596,34304
338,3592464,1680148,vgg16,3834000,128,4,192661,192661,1680148
339,3592543,1179560,resnet50,3692869,256,4,190534,190534,1179560
340,3601029,87253,resnet50,3633789,128,1,23870,23870,87253
