name,time,application,num_replicas,batch_size,ddl
ncf-142,3829875,ncf,1,32768,3829916
yolov3-143,3832797,yolov3,1,64,3868887
bert-144,3834467,bert,1,384,3842599
cifar10-145,3834495,cifar10,1,4096,3838966
imagenet-146,3834506,imagenet,1,3200,4291254
imagenet-147,3844331,imagenet,1,6400,4396340
ncf-148,3850654,ncf,1,32768,3850673
ncf-149,3850679,ncf,1,32768,3850703
cifar10-150,3850703,cifar10,1,2048,3855082
cifar10-151,3850750,cifar10,1,2048,3853722
bert-152,3851262,bert,1,384,3866700
cifar10-153,3851270,cifar10,1,2048,3854495
cifar10-154,3851272,cifar10,1,2048,3854963
ncf-155,3854186,ncf,1,32768,3854219
deepspeech2-156,3854208,deepspeech2,1,640,3888565
bert-157,3854229,bert,1,384,3873535
imagenet-158,3858680,imagenet,1,6400,4490266
bert-159,3859669,bert,1,384,3876360
ncf-160,3859688,ncf,1,32768,3859733
imagenet-161,3859711,imagenet,1,3200,4600139
imagenet-162,3860166,imagenet,1,3200,4243560
imagenet-163,3860191,imagenet,1,3200,4366795
cifar10-164,3860212,cifar10,1,4096,3868353
cifar10-165,3860913,cifar10,1,4096,3863963
deepspeech2-166,3860935,deepspeech2,1,320,3889034
imagenet-167,3860956,imagenet,1,3200,4767049
yolov3-168,3861010,yolov3,1,64,3896656
deepspeech2-169,3861045,deepspeech2,1,320,3889268
yolov3-170,3861088,yolov3,1,64,3889838
ncf-171,3862199,ncf,4,32768,3862219
imagenet-172,3871955,imagenet,1,3200,4787891
cifar10-173,3871956,cifar10,1,4096,3880196
bert-174,3871956,bert,1,384,3886651
cifar10-175,3871956,cifar10,1,2048,3874776
cifar10-176,3871956,cifar10,1,2048,3874221
imagenet-177,3871956,imagenet,1,3200,4648489
deepspeech2-178,3871956,deepspeech2,1,640,3902096
bert-179,3871958,bert,1,384,3881063
cifar10-180,3872015,cifar10,1,4096,3875423
cifar10-181,3872021,cifar10,1,2048,3874370
ncf-182,3872099,ncf,1,32768,3872128
ncf-183,3872103,ncf,1,32768,3872127
ncf-184,3872108,ncf,1,32768,3872126
yolov3-185,3873061,yolov3,1,64,3905516
deepspeech2-186,3874405,deepspeech2,1,320,3887853
bert-187,3874434,bert,1,384,3893772
cifar10-188,3875031,cifar10,1,2048,3879251
ncf-189,3875042,ncf,1,32768,3875088
bert-190,3884135,bert,1,384,3901286
cifar10-191,3884864,cifar10,1,2048,3888328
imagenet-192,3885937,imagenet,1,3200,4413684
bert-193,3886366,bert,1,384,3902921
imagenet-194,3887530,imagenet,1,6400,4948376
